Unnamed: 0,"Net Investment August 16-31, 2022","AUC as on August 31, 2022"
,IN INR Cr.,IN INR Cr.
Sectors,Equity,Equity
Automobile and Auto Components,1911,265918
Capital Goods,2246,117775
Chemicals,922,107663
Construction,501,64691
Construction Materials,-104,75929
Consumer Durables,725,179276
Consumer Services,2122,116387
Diversified,19,1658
Fast Moving Consumer Goods,1533,317335
Financial Services,6117,1519470
Forest Materials,27,1666
Healthcare,8610,219816
Information Technology,-613,511536
Media Entertainment & Publication,-267,22254
Metals & Mining,8,150326
Oil Gas & Consumable Fuels,1433,572737
Power,1140,263278
Realty,384,59419
Services,311,79154
Telecommunication,1622,115523
Textiles,-50,21706
Utilities,1,393
Sovereign,0,0
Others,154,10187
Grand Total,28752,4794095
