Unnamed: 0,"Net Investment May 01-15, 2022","AUC as on May 15, 2022"
,IN INR Cr.,IN INR Cr.
Sectors,Equity,Equity
Automobile and Auto Components,-1210,206363
Capital Goods,-638,87430
Chemicals,-423,92336
Construction,-751,51600
Construction Materials,-698,71862
Consumer Durables,-1369,163339
Consumer Services,-1032,90377
Diversified,-19,1399
Fast Moving Consumer Goods,526,267224
Financial Services,-8355,1305823
Forest Materials,14,1060
Healthcare,-838,204237
Information Technology,-5628,555811
Media Entertainment & Publication,-25,20283
Metals & Mining,-1179,134477
Oil Gas & Consumable Fuels,-3723,522715
Power,1408,204696
Realty,-248,49873
Services,-390,64993
Telecommunication,-440,105874
Textiles,-121,19201
Utilities,-1,346
Sovereign,0,0
Others,-77,10152
Grand Total,-25216,4231472
