Unnamed: 0,"Net Investment September 01-15, 2022","AUC as on September 15, 2022"
,IN INR Cr.,IN INR Cr.
Sectors,Equity,Equity
Automobile and Auto Components,1919,272961
Capital Goods,1579,116994
Chemicals,341,111864
Construction,412,66317
Construction Materials,-378,83037
Consumer Durables,654,181028
Consumer Services,1443,121602
Diversified,10,1680
Fast Moving Consumer Goods,1997,319797
Financial Services,5335,1549879
Forest Materials,63,1758
Healthcare,1737,222421
Information Technology,-3998,493146
Media Entertainment & Publication,311,23545
Metals & Mining,307,161649
Oil Gas & Consumable Fuels,-366,553669
Power,109,266904
Realty,-574,59695
Services,1132,85936
Telecommunication,852,124057
Textiles,-231,21421
Utilities,2,414
Sovereign,0,0
Others,108,11983
Grand Total,12764,4851755
